,suburb
865, LEPPINGTON NSW 2179
866, CHULLORA NSW 2190
867, GREENACRE NSW 2190
868, MOUNT LEWIS NSW 2190
869, BELFIELD NSW 2191
870, BELMORE NSW 2192
871, ASHBURY NSW 2193
872, CANTERBURY NSW 2193
873, HURLSTONE PARK NSW 2193
874, CAMPSIE NSW 2194
875, LAKEMBA NSW 2195
876, WILEY PARK NSW 2195
877, PUNCHBOWL NSW 2196
878, ROSELANDS NSW 2196
879, BASS HILL NSW 2197
880, GEORGES HALL NSW 2198
881, YAGOONA NSW 2199
882, YAGOONA WEST NSW 2199
883, BANKSTOWN NSW 2200
884, BANKSTOWN AERODROME NSW 2200
885, BANKSTOWN NORTH NSW 2200
886, BANKSTOWN SQUARE NSW 2200
887, CONDELL PARK NSW 2200
888, MANAHAN NSW 2200
889, MOUNT LEWIS NSW 2200
890, DULWICH HILL NSW 2203
891, MARRICKVILLE NSW 2204
892, MARRICKVILLE METRO NSW 2204
893, MARRICKVILLE SOUTH NSW 2204
894, ARNCLIFFE NSW 2205
895, TURRELLA NSW 2205
896, WOLLI CREEK NSW 2205
897, CLEMTON PARK NSW 2206
898, EARLWOOD NSW 2206
899, BARDWELL PARK NSW 2207
900, BARDWELL VALLEY NSW 2207
901, BEXLEY NSW 2207
902, BEXLEY NORTH NSW 2207
903, BEXLEY SOUTH NSW 2207
904, KINGSGROVE NSW 2208
905, BEVERLY HILLS NSW 2209
906, NARWEE NSW 2209
907, LUGARNO NSW 2210
908, PEAKHURST NSW 2210
909, PEAKHURST HEIGHTS NSW 2210
910, RIVERWOOD NSW 2210
911, PADSTOW NSW 2211
912, PADSTOW HEIGHTS NSW 2211
913, REVESBY NSW 2212
914, REVESBY HEIGHTS NSW 2212
915, REVESBY NORTH NSW 2212
916, EAST HILLS NSW 2213
917, PANANIA NSW 2213
918, PICNIC POINT NSW 2213
919, MILPERRA NSW 2214
920, BANKSIA NSW 2216
921, BRIGHTON-LE-SANDS NSW 2216
922, KYEEMAGH NSW 2216
923, ROCKDALE NSW 2216
924, BEVERLEY PARK NSW 2217
925, KOGARAH NSW 2217
926, KOGARAH BAY NSW 2217
927, MONTEREY NSW 2217
928, RAMSGATE NSW 2217
929, RAMSGATE BEACH NSW 2217
930, ALLAWAH NSW 2218
931, CARLTON NSW 2218
932, DOLLS POINT NSW 2219
933, SANDRINGHAM NSW 2219
934, SANS SOUCI NSW 2219
935, HURSTVILLE NSW 2220
936, HURSTVILLE GROVE NSW 2220
937, HURSTVILLE WESTFIELD NSW 2220
938, BLAKEHURST NSW 2221
939, CARSS PARK NSW 2221
940, CONNELLS POINT NSW 2221
941, KYLE BAY NSW 2221
942, SOUTH HURSTVILLE NSW 2221
943, PENSHURST NSW 2222
944, MORTDALE NSW 2223
945, OATLEY NSW 2223
946, KANGAROO POINT NSW 2224
947, SYLVANIA NSW 2224
948, SYLVANIA SOUTHGATE NSW 2224
949, SYLVANIA WATERS NSW 2224
950, CARAVAN HEAD NSW 2225
951, OYSTER BAY NSW 2225
952, BONNET BAY NSW 2226
953, COMO NSW 2226
954, JANNALI NSW 2226
955, GYMEA NSW 2227
956, GYMEA BAY NSW 2227
957, MIRANDA NSW 2228
958, YOWIE BAY NSW 2228
959, CARINGBAH NSW 2229
960, DOLANS BAY NSW 2229
961, LILLI PILLI NSW 2229
962, PORT HACKING NSW 2229
963, TAREN POINT NSW 2229
964, WARUMBUL NSW 2229
965, BUNDEENA NSW 2230
966, BURRANEER NSW 2230
967, CRONULLA NSW 2230
968, MAIANBAR NSW 2230
969, WOOLOOWARE NSW 2230
970, KURNELL NSW 2231
971, AUDLEY NSW 2232
972, GARIE NSW 2232
973, GRAYS POINT NSW 2232
974, KAREELA NSW 2232
975, KIRRAWEE NSW 2232
976, LOFTUS NSW 2232
977, SUTHERLAND NSW 2232
978, WORONORA NSW 2232
979, ENGADINE NSW 2233
980, HEATHCOTE NSW 2233
981, WATERFALL NSW 2233
982, WORONORA HEIGHTS NSW 2233
983, YARRAWARRAH NSW 2233
984, ALFORDS POINT NSW 2234
985, BANGOR NSW 2234
986, BARDEN RIDGE NSW 2234
987, ILLAWONG NSW 2234
988, LUCAS HEIGHTS NSW 2234
989, MENAI NSW 2234
990, MENAI CENTRAL NSW 2234
991, BUCKETTY NSW 2250
992, CALGA NSW 2250
993, CENTRAL MANGROVE NSW 2250
994, EAST GOSFORD NSW 2250
995, ERINA NSW 2250
996, ERINA FAIR NSW 2250
997, GLENWORTH VALLEY NSW 2250
998, GOSFORD NSW 2250
999, GREENGROVE NSW 2250
1000, HOLGATE NSW 2250
1001, KARIONG NSW 2250
1002, KULNURA NSW 2250
1003, LISAROW NSW 2250
1004, LOWER MANGROVE NSW 2250
1005, MANGROVE CREEK NSW 2250
1006, MANGROVE MOUNTAIN NSW 2250
1007, MATCHAM NSW 2250
1008, MOONEY MOONEY CREEK NSW 2250
1009, MOUNT ELLIOT NSW 2250
1010, MOUNT WHITE NSW 2250
1011, NARARA NSW 2250
1012, NIAGARA PARK NSW 2250
1013, NORTH GOSFORD NSW 2250
1014, PEATS RIDGE NSW 2250
1015, POINT CLARE NSW 2250
1016, POINT FREDERICK NSW 2250
1017, SOMERSBY NSW 2250
1018, SPRINGFIELD NSW 2250
1019, TASCOTT NSW 2250
1020, TEN MILE HOLLOW NSW 2250
1021, UPPER MANGROVE NSW 2250
1022, WENDOREE PARK NSW 2250
1023, WEST GOSFORD NSW 2250
1024, WYOMING NSW 2250
1025, AVOCA BEACH NSW 2251
1026, BENSVILLE NSW 2251
1027, BOUDDI NSW 2251
1028, COPACABANA NSW 2251
1029, DAVISTOWN NSW 2251
1030, GREEN POINT NSW 2251
1031, KINCUMBER NSW 2251
1032, KINCUMBER SOUTH NSW 2251
1033, MACMASTERS BEACH NSW 2251
1034, PICKETTS VALLEY NSW 2251
1035, SARATOGA NSW 2251
1036, YATTALUNGA NSW 2251
1037, BLACKWALL NSW 2256
1038, HORSFIELD BAY NSW 2256
1039, KOOLEWONG NSW 2256
1040, LITTLE WOBBY NSW 2256
1041, PATONGA NSW 2256
1042, PEARL BEACH NSW 2256
1043, PHEGANS BAY NSW 2256
1044, WONDABYNE NSW 2256
1045, WOY WOY NSW 2256
1046, WOY WOY BAY NSW 2256
1047, BOOKER BAY NSW 2257
1048, BOX HEAD NSW 2257
1049, DALEYS POINT NSW 2257
1050, EMPIRE BAY NSW 2257
1051, ETTALONG BEACH NSW 2257
1052, HARDYS BAY NSW 2257
1053, KILLCARE NSW 2257
1054, KILLCARE HEIGHTS NSW 2257
1055, PRETTY BEACH NSW 2257
1056, ST HUBERTS ISLAND NSW 2257
1057, UMINA BEACH NSW 2257
1058, WAGSTAFFE NSW 2257
1059, FOUNTAINDALE NSW 2258
1060, KANGY ANGY NSW 2258
1061, OURIMBAH NSW 2258
1062, PALM GROVE NSW 2258
1063, PALMDALE NSW 2258
1064, ALISON NSW 2259
1065, BUSHELLS RIDGE NSW 2259
1066, CEDAR BRUSH CREEK NSW 2259
1067, CHAIN VALLEY BAY NSW 2259
1068, CRANGAN BAY NSW 2259
1069, DOORALONG NSW 2259
1070, DURREN DURREN NSW 2259
1071, FRAZER PARK NSW 2259
1072, FREEMANS NSW 2259
